"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","468.4","312.7","3,844.0","31.8","8.1","134.3","812.3","4.0","4.3","369.6"
"Josh Allen","BUF","507.5","324.9","3,824.1","28.4","10.3","112.5","559.0","10.4","3.2","368.1"
"Jalen Hurts","PHI","447.6","301.8","3,409.6","23.0","8.6","144.2","621.5","12.4","3.7","348.8"
"Jayden Daniels","WAS","522.9","355.3","3,815.0","26.2","10.4","132.2","727.2","5.4","2.4","347.2"
"Joe Burrow","CIN","612.5","423.6","4,540.2","35.5","10.3","46.8","175.6","2.0","3.6","335.7"
"Patrick Mahomes II","KC","588.9","398.6","4,134.5","29.3","11.9","74.3","350.1","2.8","2.4","317.5"
"Baker Mayfield","TB","543.7","376.4","4,093.9","32.2","14.4","62.5","280.2","2.5","3.8","313.6"
"Kyler Murray","ARI","527.9","360.4","3,763.1","23.5","10.9","86.0","525.3","5.0","3.7","308.6"
"Brock Purdy","SF","512.5","342.1","4,203.8","26.6","12.4","63.4","271.0","3.3","2.8","303.3"
"Bo Nix","DEN","544.9","356.2","3,719.2","26.7","11.8","86.1","411.6","3.5","1.9","302.4"
"Justin Fields","NYJ","495.2","307.9","3,226.1","19.4","11.0","118.4","676.9","5.7","3.5","290.6"
"Jared Goff","DET","537.1","371.8","4,293.8","31.1","11.2","31.8","67.6","0.6","2.8","289.5"
"J.J. McCarthy","MIN","553.1","362.3","3,992.6","27.8","14.2","53.4","253.0","1.7","3.7","284.7"
"Dak Prescott","DAL","584.4","383.9","4,111.7","26.8","11.7","41.3","170.8","1.8","2.9","282.2"
"Justin Herbert","LAC","518.6","340.9","3,839.1","24.9","8.1","62.5","266.8","2.5","2.4","282.1"
"Caleb Williams","CHI","547.0","347.8","3,647.4","22.9","10.1","85.3","461.9","2.4","4.3","279.2"
"Jordan Love","GB","494.9","317.5","3,824.1","27.4","11.8","39.1","160.1","1.8","2.4","273.0"
"C.J. Stroud","HOU","541.0","348.0","3,933.4","24.3","10.6","57.7","252.9","1.7","3.5","272.2"
"Trevor Lawrence","JAC","536.7","343.5","3,850.7","22.4","12.9","53.2","245.3","3.0","3.9","265.1"
"Drake Maye","NE","505.2","336.1","3,450.9","21.1","12.7","74.2","469.0","2.9","4.6","264.9"
"Matthew Stafford","LAR","548.3","359.7","4,019.7","25.7","10.8","29.1","69.8","0.5","2.7","257.6"
"Michael Penix Jr.","ATL","529.7","337.3","3,813.9","23.1","13.0","50.8","192.1","2.0","3.0","257.4"
"Geno Smith","LV","554.4","371.9","3,900.5","21.4","13.5","52.4","230.4","1.6","2.6","255.9"
"Sam Darnold","SEA","544.5","358.2","3,873.1","23.0","14.2","55.6","195.9","1.8","3.7","255.3"
"Tua Tagovailoa","MIA","559.5","389.4","4,017.4","25.3","11.7","25.8","78.3","0.5","3.4","254.2"
"Cameron Ward","TEN","506.1","322.9","3,510.2","21.0","13.6","72.3","323.0","2.3","3.9","248.9"
"Bryce Young","CAR","534.0","338.7","3,444.7","20.2","11.9","52.0","290.0","3.0","3.3","247.4"
"Aaron Rodgers","PIT","529.3","338.5","3,666.8","22.4","9.5","21.5","80.6","0.4","2.6","232.2"
"Anthony Richardson Sr.","IND","357.0","198.4","2,516.7","14.7","11.6","98.1","529.2","5.1","3.9","223.3"
"Russell Wilson","NYG","431.3","275.4","2,865.8","15.4","8.2","50.8","208.1","1.8","2.6","194.6"
"Tyler Shough","NO","427.0","269.7","2,847.6","15.6","11.2","46.6","218.2","1.7","3.0","191.2"
"Joe Flacco","CLE","253.9","162.3","1,861.4","9.4","7.1","6.4","29.7","0.5","1.7","107.6"
"Daniel Jones","IND","146.0","90.3","967.2","5.1","3.3","30.7","133.7","1.1","1.2","73.2"
