"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","309.1","1,584.6","10.4","35.9","274.0","1.9","1.4","257.3"
"Bijan Robinson","ATL","287.4","1,353.6","11.0","53.7","406.0","2.1","1.4","251.6"
"Jahmyr Gibbs","DET","234.3","1,223.2","11.6","52.4","462.7","2.6","1.3","251.3"
"Derrick Henry","BAL","292.1","1,501.4","13.4","17.1","161.2","1.0","1.4","249.4"
"Josh Jacobs","GB","286.9","1,217.6","11.2","37.4","311.4","1.4","1.5","225.7"
"Christian McCaffrey","SF","233.3","1,064.3","7.7","61.4","531.5","3.3","1.8","222.4"
"Jonathan Taylor","IND","295.0","1,343.8","9.5","25.0","187.4","1.1","1.5","213.4"
"De'Von Achane","MIA","206.6","971.3","7.1","66.1","492.5","3.9","1.3","210.0"
"Ashton Jeanty","LV","263.7","1,167.1","8.5","43.5","342.1","1.9","2.4","208.4"
"Kyren Williams","LAR","266.5","1,147.2","10.7","33.6","214.8","1.7","2.2","206.2"
"Bucky Irving","TB","237.0","1,129.4","8.6","43.6","337.9","1.7","1.4","205.5"
"James Cook","BUF","231.9","1,078.0","10.1","31.6","264.8","1.9","1.3","203.6"
"Joe Mixon","HOU","239.8","971.0","9.0","38.1","296.4","1.6","0.9","188.6"
"Chase Brown","CIN","223.0","938.8","7.6","50.6","351.7","2.6","1.4","187.8"
"Breece Hall","NYJ","220.4","995.1","6.1","50.4","401.0","2.1","1.9","185.0"
"James Conner","ARI","216.0","984.8","8.0","38.7","295.1","1.4","1.4","181.3"
"Kenneth Walker III","SEA","227.9","932.4","8.1","41.9","300.0","1.3","1.3","176.7"
"Alvin Kamara","NO","206.1","858.9","4.9","60.5","455.9","2.0","1.3","170.2"
"Omarion Hampton","LAC","201.8","899.5","7.6","36.6","279.3","1.6","1.7","170.1"
"D'Andre Swift","CHI","243.0","976.9","6.2","36.2","279.3","1.2","1.1","167.9"
"Aaron Jones Sr.","MIN","214.7","959.6","4.7","44.0","330.6","2.2","1.7","166.7"
"Chuba Hubbard","CAR","212.5","968.6","6.9","35.8","217.1","1.0","1.8","162.8"
"David Montgomery","DET","191.0","802.7","9.2","29.2","240.4","0.8","1.0","162.4"
"Tony Pollard","TEN","224.6","948.2","5.2","37.7","239.9","0.8","1.0","152.9"
"TreVeyon Henderson","NE","193.1","862.9","5.3","30.2","232.6","1.2","1.6","145.2"
"Brian Robinson Jr.","WAS","196.5","802.5","6.9","25.4","196.1","1.1","1.3","144.9"
"Kaleb Johnson","PIT","202.8","846.9","6.0","25.8","196.5","1.1","1.7","143.7"
"Tyrone Tracy Jr.","NYG","191.7","815.1","5.1","34.8","263.7","1.1","1.5","142.5"
"Isiah Pacheco","KC","196.9","819.6","5.5","31.8","218.3","1.0","0.9","141.2"
"Quinshon Judkins","CLE","180.0","796.2","5.0","29.7","227.0","1.0","1.7","135.3"
"RJ Harvey","DEN","155.3","705.7","4.8","30.4","232.4","1.3","1.0","128.3"
"Najee Harris","LAC","163.2","656.1","5.5","25.5","183.5","0.9","0.8","120.8"
"Javonte Williams","DAL","179.1","655.3","4.3","36.9","237.6","1.1","1.0","120.0"
"Jaylen Warren","PIT","130.0","610.9","3.3","44.9","327.1","1.0","1.0","117.7"
"Cam Skattebo","NYG","159.4","637.7","4.3","28.6","223.9","1.0","1.2","115.6"
"Austin Ekeler","WAS","103.6","443.6","4.4","44.2","364.2","1.6","1.0","114.5"
"Travis Etienne Jr.","JAC","147.1","610.6","3.8","35.0","259.2","1.1","0.9","114.3"
"Rhamondre Stevenson","NE","156.2","641.7","4.7","28.2","178.4","1.1","1.5","113.8"
"Zach Charbonnet","SEA","121.9","502.9","4.2","34.4","252.7","0.9","0.8","104.6"
"Rachaad White","TB","115.0","451.3","2.6","40.7","306.8","2.3","1.3","102.7"
"Tank Bigsby","JAC","155.2","614.1","4.7","15.8","115.1","0.4","1.1","101.2"
"Jordan Mason","MIN","135.1","643.1","3.8","16.0","116.8","0.5","0.6","100.5"
"Tyjae Spears","TEN","119.8","483.1","3.6","32.5","242.5","1.0","0.9","98.2"
"J.K. Dobbins","DEN","117.7","538.8","4.3","21.1","131.3","0.8","1.0","95.1"
"Tyler Allgeier","ATL","121.7","545.8","3.4","13.3","97.0","0.4","0.8","85.1"
"Rico Dowdle","CAR","121.5","505.6","2.7","18.8","128.9","1.1","0.8","84.3"
"Bhayshul Tuten","JAC","110.4","463.3","3.2","18.8","150.7","0.9","0.8","84.2"
"Isaac Guerendo","SF","108.6","481.5","3.9","13.1","111.3","0.4","1.0","83.1"
"Zack Moss","CIN","103.2","358.6","3.0","24.2","174.1","1.2","0.5","77.0"
"Jerome Ford","CLE","99.9","425.6","2.4","24.4","165.0","0.9","0.8","76.9"
"Kareem Hunt","KC","100.9","355.3","3.8","19.7","134.0","0.9","0.1","76.8"
"Roschon Johnson","CHI","92.7","319.3","4.6","21.6","141.2","0.5","0.5","76.1"
"Kendre Miller","NO","111.4","423.4","3.7","12.8","96.5","0.2","0.5","74.7"
"Ray Davis","BUF","99.5","422.0","2.9","12.2","108.4","1.0","0.8","74.5"
"Blake Corum","LAR","112.4","435.7","3.0","12.9","95.1","0.6","0.5","74.1"
"Dylan Sampson","CLE","105.5","400.5","2.2","18.8","148.9","0.8","0.8","71.6"
"Jaydon Blue","DAL","89.1","391.1","2.6","17.0","135.0","0.7","0.8","70.5"
"Jaylen Wright","MIA","104.8","435.9","2.6","11.8","82.0","0.5","1.5","67.3"
"Jaleel McLaughlin","DEN","90.0","319.0","1.8","28.1","175.4","1.4","0.7","67.0"
"Braelon Allen","NYJ","91.7","349.5","2.4","17.3","130.9","0.8","0.4","66.7"
"Trey Benson","ARI","89.7","421.0","2.5","11.0","82.1","0.5","0.9","66.1"
"Raheem Mostert","LV","79.9","323.3","2.7","18.0","132.2","0.8","0.8","65.0"
"MarShawn Lloyd","GB","86.5","360.0","2.7","13.4","107.1","0.6","0.8","64.9"
"Miles Sanders","DAL","93.0","366.2","2.2","11.5","74.6","0.6","0.5","60.1"
"Alexander Mattison","MIA","109.4","342.7","2.3","12.2","83.5","0.5","0.1","59.0"
"Nick Chubb","HOU","79.9","347.9","2.8","6.7","49.9","0.3","0.3","57.9"
"Justice Hill","BAL","45.8","200.0","1.1","26.9","221.2","1.6","0.8","56.9"
"Woody Marks","HOU","105.1","313.3","1.9","14.2","102.8","0.4","0.3","55.0"
"Ty Johnson","BUF","50.3","223.4","1.1","16.0","173.3","1.5","0.1","54.9"
"Antonio Gibson","NE","61.3","242.0","1.1","17.4","137.8","0.8","0.1","49.4"
"Trevor Etienne","CAR","63.2","245.4","1.7","13.7","107.5","0.8","0.7","48.7"
"Devin Singletary","NYG","70.9","285.4","1.9","11.5","79.4","0.2","0.4","48.1"
"Khalil Herbert","IND","67.4","292.3","2.0","8.2","53.7","0.2","0.0","47.7"
"Keaton Mitchell","BAL","70.9","281.6","1.5","8.4","79.3","0.3","0.1","46.8"
"Emanuel Wilson","GB","65.7","272.0","1.9","8.3","60.2","0.3","0.0","46.2"
"Cordarrelle Patterson","PIT","47.5","212.7","1.7","13.8","107.6","0.7","0.2","45.7"
"Jarquez Hunter","LAR","60.4","250.4","2.0","7.7","63.6","0.4","0.4","44.9"
"A.J. Dillon","PHI","65.5","241.5","2.0","5.7","45.1","0.2","0.0","41.3"
"Will Shipley","PHI","45.8","226.5","1.6","7.1","52.0","0.4","0.1","39.3"
"Elijah Mitchell","KC","58.3","216.5","1.5","8.8","51.6","0.5","0.0","38.7"
"Samaje Perine","CIN","28.3","124.1","0.8","18.2","163.2","0.9","0.4","38.1"
"Audric Estime","DEN","66.2","233.9","1.7","6.4","44.0","0.2","0.4","38.0"
"Cam Akers","NO","70.6","225.1","1.5","6.8","50.4","0.2","0.0","37.5"
"Dameon Pierce","HOU","38.5","192.9","1.4","13.1","87.9","0.5","1.1","36.7"
"Zamir White","LV","60.6","202.6","1.1","10.2","72.8","0.4","0.1","36.4"
"Kenneth Gainwell","PIT","55.7","199.0","1.3","9.4","66.1","0.4","0.4","35.4"
"DJ Giddens","IND","40.7","203.8","1.5","6.4","48.6","0.1","0.1","34.7"
"Devin Neal","NO","35.2","193.4","1.2","6.1","46.1","0.4","0.0","33.5"
"Isaiah Davis","NYJ","33.7","191.4","1.2","7.3","53.4","0.2","0.1","32.4"
"Sean Tucker","TB","37.9","189.5","1.3","7.3","55.8","0.2","0.7","32.2"
"Michael Carter","ARI","43.3","163.9","1.2","7.6","52.0","0.3","0.0","30.2"
"Emari Demercado","ARI","28.8","156.3","0.9","11.1","75.6","0.2","0.1","29.5"
"Sincere McCormick","LV","39.5","169.2","0.9","8.7","59.9","0.2","0.2","29.5"
"Kyle Monangai","CHI","26.2","163.9","1.2","5.0","36.0","0.0","0.0","27.5"
"Kye Robichaux","DET","36.0","172.0","1.0","3.0","28.0","0.0","0.0","26.0"
"Tahj Brooks","CIN","10.0","139.7","1.2","5.6","39.7","0.1","0.0","25.2"
"Amar Johnson","GB","35.0","165.0","1.0","2.0","26.0","0.0","0.0","25.1"
"Jordan James","SF","22.1","144.9","1.2","3.6","31.6","0.0","0.0","24.7"
"Ollie Gordon II","MIA","19.8","145.2","1.1","4.4","33.1","0.0","0.3","23.8"
"Craig Reynolds","DET","32.2","108.3","0.6","8.6","68.8","0.4","0.1","23.4"
"Ty Chandler","MIN","31.3","130.8","0.8","6.4","44.4","0.2","0.0","23.4"
"Kalel Mullings","TEN","27.5","140.4","0.9","4.9","35.4","0.1","0.1","23.3"
"Kyle Juszczyk","SF","6.6","27.1","0.4","13.2","127.7","1.0","0.4","22.8"
"Chris Rodriguez Jr.","WAS","19.9","132.6","1.2","2.6","18.8","0.0","0.0","22.3"
"Clyde Edwards-Helaire","NO","38.9","125.7","0.6","5.7","43.8","0.3","0.1","21.9"
"Patrick Taylor Jr.","SF","38.5","124.1","0.7","5.1","38.0","0.2","0.1","21.5"
"Montrell Johnson Jr.","PHI","0.0","126.0","1.0","3.0","22.0","0.0","0.0","20.8"
"Brashard Smith","KC","7.2","87.4","0.6","6.6","47.9","0.5","0.0","20.5"
"Tyler Goodson","IND","22.3","102.9","0.8","5.4","35.3","0.3","0.0","19.9"
"Jordan Mims","TEN","29.4","123.7","0.6","4.1","28.2","0.2","0.0","19.7"
"Kenny McIntosh","SEA","15.6","87.1","0.6","5.5","40.8","0.2","0.0","17.1"
"Damien Martinez","SEA","7.9","101.5","0.6","4.0","28.7","0.0","0.0","16.8"
"Raheem Blackshear","CAR","32.6","99.1","0.5","3.9","28.7","0.1","0.5","15.6"
"Travis Homer","CHI","26.2","83.2","0.4","5.3","38.5","0.2","0.0","15.6"
"Deuce Vaughn","DAL","30.9","96.2","0.4","4.2","29.7","0.1","0.0","15.6"
"Zonovan Knight","NYJ","19.3","80.3","0.5","4.3","30.7","0.2","0.0","15.3"
"Jacory Croskey-Merritt","WAS","21.6","99.9","0.7","1.5","12.5","0.0","0.0","15.1"
"Dare Ogunbowale","HOU","6.0","36.5","0.1","8.8","65.4","0.5","0.0","13.9"
"Jeremy McNichols","WAS","19.8","76.6","0.8","2.0","10.6","0.0","0.0","13.4"
"Chris Brooks","GB","14.5","79.4","0.6","3.0","18.7","0.0","0.0","13.3"
"Carson Steele","KC","27.2","83.7","0.6","4.6","25.3","0.1","1.0","12.7"
"Pierre Strong Jr.","CLE","18.5","65.8","0.2","4.8","36.6","0.1","0.0","12.3"
"Rasheen Ali","BAL","9.7","73.7","0.6","1.5","11.6","0.0","0.0","11.9"
"Alec Ingold","MIA","7.4","16.4","0.6","6.6","48.2","0.3","0.4","11.3"
"Kimani Vidal","LAC","8.5","58.9","0.5","3.0","21.2","0.1","0.0","11.2"
"Trey Sermon","PIT","5.0","58.2","0.4","3.0","20.8","0.1","0.0","10.6"
"Hassan Haskins","LAC","16.9","49.7","0.5","0.8","8.5","0.3","0.0","10.2"
"Julius Chestnut","TEN","13.7","52.3","0.2","4.0","28.9","0.1","0.0","10.0"
"Ronnie Rivers","LAR","22.7","71.1","0.4","0.3","2.3","0.0","0.0","9.4"
"Michael Burton","DEN","4.4","9.7","0.4","4.8","30.4","0.4","0.0","8.7"
"Frank Gore Jr.","BUF","10.2","42.9","0.2","1.9","14.9","0.1","0.0","7.7"
"DeeJay Dallas","ARI","7.8","35.9","0.1","5.5","37.1","0.1","0.5","7.6"
"C.J. Ham","MIN","2.0","9.1","0.7","3.5","23.3","0.0","0.0","7.6"
"Eric Gray","NYG","13.3","46.8","0.2","3.0","22.4","0.1","0.5","7.5"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.5","28.1","0.5","0.0","7.5"
"Hunter Luepke","DAL","4.2","14.5","0.1","3.9","28.3","0.4","0.0","7.1"
"Gary Brightwell","CIN","8.1","33.9","0.2","2.4","16.8","0.1","0.0","7.0"
"Terrell Jennings","NE","6.7","28.5","0.2","2.8","21.1","0.1","0.0","6.7"
"Carlos Washington Jr.","ATL","8.8","36.6","0.3","0.0","0.0","0.0","0.0","5.3"
"Tyler Badie","DEN","6.1","31.2","0.1","1.7","11.9","0.0","0.0","5.1"
"Darrynton Evans","BUF","5.1","21.4","0.1","1.9","15.3","0.1","0.0","4.9"
"Keilan Robinson","PHI","3.8","24.3","0.1","2.0","14.2","0.0","0.0","4.3"
"J.J. Taylor","HOU","0.0","0.0","0.0","4.2","28.1","0.2","0.0","4.1"
"Sione Vaki","DET","4.7","20.4","0.1","1.6","12.3","0.0","0.0","4.0"
"Avery Williams","PHI","3.8","21.8","0.1","2.8","19.7","0.1","0.5","4.0"
"Troy Hairston II","CLE","2.2","9.7","0.1","2.3","18.1","0.1","0.0","3.8"
"Scott Matlock","LAC","0.0","0.0","0.0","4.3","29.1","0.1","0.0","3.6"
"Elijah Dotson","ATL","2.6","10.9","0.1","2.0","14.2","0.1","0.0","3.5"
"Velus Jones Jr.","NO","2.4","10.2","0.1","2.0","14.9","0.1","0.0","3.5"
"D.J. Williams","TB","4.2","17.3","0.1","1.0","7.1","0.0","0.0","3.3"
"Donovan Edwards","NYJ","0.0","21.0","0.0","1.0","7.0","0.0","0.0","2.8"
"Corey Kiner","SF","0.0","21.0","0.0","1.0","7.0","0.0","0.0","2.8"
"Raheim Sanders","LAC","0.0","21.0","0.0","1.0","7.0","0.0","0.0","2.8"
"Marcus Yarns","NO","0.0","21.0","0.0","1.0","7.0","0.0","0.0","2.8"
"Israel Abanikanda","SF","2.4","10.1","0.1","1.0","7.4","0.1","0.0","2.7"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","15.3","0.1","0.0","2.0"
"Dylan Laube","LV","0.0","8.3","0.0","1.0","7.3","0.0","0.0","1.6"
"Phil Mafah","DAL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Trayveon Williams","NE","1.2","5.2","0.0","1.0","7.0","0.0","0.0","1.4"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zach Evans","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Holani","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Louis Rees-Zammit","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LeQuint Allen Jr.","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
