"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"George Kittle","SF","72.5","980.3","7.1","0.5","139.8"
"Brock Bowers","LV","97.8","1,047.4","5.5","0.5","137.9"
"Trey McBride","ARI","96.9","979.6","5.3","0.5","128.8"
"Mark Andrews","BAL","59.1","713.9","7.7","0.8","116.2"
"Sam LaPorta","DET","67.2","758.9","6.7","0.4","115.2"
"Travis Kelce","KC","79.3","747.4","5.1","0.8","103.9"
"David Njoku","CLE","75.8","729.8","4.8","0.8","100.4"
"T.J. Hockenson","MIN","69.5","733.6","4.3","0.5","98.4"
"Tucker Kraft","GB","52.9","628.7","4.5","0.8","88.4"
"Dallas Goedert","PHI","58.5","646.1","3.8","0.5","86.4"
"Jake Ferguson","DAL","67.1","622.7","3.8","1.2","82.7"
"Zach Ertz","WAS","56.2","522.1","4.8","0.1","80.9"
"Evan Engram","DEN","66.9","591.3","3.9","0.9","80.7"
"Jonnu Smith","PIT","53.2","559.8","4.1","0.9","79.2"
"Kyle Pitts","ATL","45.6","577.3","3.6","0.1","79.0"
"Dalton Kincaid","BUF","55.1","580.5","3.6","0.5","78.6"
"Isaiah Likely","BAL","42.4","502.7","4.7","0.7","77.2"
"Hunter Henry","NE","54.7","566.5","3.6","0.4","77.1"
"Cade Otton","TB","51.3","524.8","3.9","0.5","74.7"
"Mike Gesicki","CIN","54.7","537.3","3.5","0.4","74.0"
"Brenton Strange","JAC","53.1","525.9","3.2","0.5","70.9"
"Tyler Warren","IND","45.6","506.3","3.3","1.1","68.7"
"Dalton Schultz","HOU","49.3","509.7","3.1","0.4","68.7"
"Pat Freiermuth","PIT","50.3","489.6","3.5","0.9","68.1"
"Juwan Johnson","NO","46.6","486.4","3.3","0.2","68.0"
"Tyler Higbee","LAR","45.3","428.5","3.6","0.1","64.3"
"Colston Loveland","CHI","42.2","447.1","3.3","0.8","62.7"
"Darren Waller","MIA","40.4","443.2","2.9","0.0","61.6"
"Chig Okonkwo","TEN","48.0","472.4","2.5","0.8","61.1"
"Theo Johnson","NYG","41.4","455.1","2.5","0.1","60.1"
"Will Dissly","LAC","39.9","387.3","2.5","0.1","53.8"
"Tyler Conklin","LAC","39.6","385.2","2.5","0.1","53.6"
"Ja'Tavion Sanders","CAR","38.2","383.4","2.1","0.1","50.8"
"Mason Taylor","NYJ","37.2","367.6","2.4","0.4","50.1"
"Cole Kmet","CHI","33.6","325.2","2.4","0.4","46.1"
"Noah Gray","KC","29.4","296.4","2.6","0.1","45.3"
"Elijah Arroyo","SEA","30.6","318.2","1.9","0.4","42.5"
"Foster Moreau","NO","24.3","276.6","2.0","0.1","39.4"
"Taysom Hill","NO","12.7","108.0","0.7","0.3","38.6"
"Michael Mayer","LV","29.3","273.4","1.7","0.1","37.3"
"Dawson Knox","BUF","22.6","244.8","2.0","0.0","36.3"
"Austin Hooper","NE","26.7","264.0","1.5","0.4","34.4"
"Terrance Ferguson","LAR","21.9","225.0","1.8","0.4","32.6"
"Harold Fannin Jr.","CLE","22.6","221.2","1.2","0.4","28.6"
"Tommy Tremble","CAR","19.2","186.3","1.7","0.4","28.2"
"Luke Musgrave","GB","19.8","193.2","1.5","0.0","28.1"
"Ben Sinnott","WAS","19.4","189.7","1.5","0.1","28.0"
"AJ Barner","SEA","20.5","187.6","1.5","0.0","27.9"
"Jeremy Ruckert","NYJ","21.1","185.9","1.3","0.0","26.3"
"Josh Whyle","TEN","19.4","179.3","1.0","0.0","24.0"
"Darnell Washington","PIT","17.8","178.1","1.0","0.1","23.9"
"Mo Alie-Cox","IND","13.7","168.3","1.2","0.0","23.7"
"Adam Trautman","DEN","13.5","145.0","1.5","0.0","23.1"
"Luke Schoonmaker","DAL","17.7","159.9","1.2","0.0","23.1"
"Gunnar Helm","TEN","16.9","173.3","1.0","0.4","22.6"
"Cade Stover","HOU","16.3","155.8","1.1","0.0","22.1"
"Brevin Jordan","HOU","13.7","150.9","1.1","0.0","21.9"
"Daniel Bellinger","NYG","17.2","162.8","0.9","0.0","21.6"
"Grant Calcaterra","PHI","15.1","152.8","1.1","0.0","21.6"
"Charlie Woerner","ATL","14.6","137.9","1.2","0.1","20.7"
"Brock Wright","DET","11.8","107.4","1.6","0.0","20.4"
"Josh Oliver","MIN","12.1","126.4","1.2","0.1","20.0"
"Payne Durham","TB","11.8","116.6","1.3","0.0","19.3"
"Elijah Higgins","ARI","13.1","125.7","1.1","0.0","19.3"
"Luke Deal","DET","12.0","128.0","1.0","0.0","18.8"
"Drew Ogletree","IND","9.7","119.0","1.1","0.0","18.3"
"Jake Briningstool","KC","12.0","121.0","1.0","0.0","18.1"
"Jelani Woods","IND","7.0","117.5","1.0","0.0","17.8"
"Robbie Ouzts","SEA","12.0","116.0","1.0","0.0","17.6"
"Julian Hill","MIA","13.6","129.2","0.9","0.4","17.4"
"Connor Heyward","PIT","11.4","99.3","1.2","0.0","17.3"
"Erick All Jr.","CIN","13.9","121.0","0.8","0.0","16.8"
"Jordan Murray","CHI","11.0","104.0","1.0","0.0","16.4"
"Ben Yurosek","MIN","11.0","101.0","1.0","0.0","16.1"
"Pharaoh Brown","MIA","11.6","111.8","0.8","0.0","16.0"
"Charlie Kolar","BAL","8.7","99.6","0.9","0.0","15.4"
"Oronde Gadsden II","LAC","9.8","101.1","0.8","0.0","15.1"
"Colby Parkinson","LAR","9.9","100.2","0.8","0.0","14.6"
"Johnny Mundt","JAC","11.6","102.3","0.7","0.0","14.4"
"Drew Sample","CIN","11.5","95.7","0.8","0.1","14.4"
"Tanner Hudson","CIN","10.5","96.4","0.8","0.1","14.0"
"Quintin Morris","JAC","10.3","93.5","0.8","0.0","14.0"
"Davis Allen","LAR","10.7","102.6","0.6","0.0","13.9"
"Luke Farrell","SF","9.0","88.5","0.7","0.0","12.9"
"Lucas Krull","DEN","9.6","92.5","0.6","0.0","12.8"
"Kylen Granson","PHI","8.0","87.2","0.6","0.0","12.3"
"Gavin Bartholomew","MIN","7.9","83.6","0.7","0.0","12.3"
"Hunter Long","JAC","10.5","94.8","0.5","0.0","12.2"
"Devin Culp","TB","7.8","83.1","0.6","0.0","12.1"
"Ross Dwelley","SF","5.6","82.3","0.6","0.0","11.9"
"Stone Smartt","NYJ","8.0","90.0","0.5","0.3","11.6"
"Mitchell Evans","CAR","7.8","79.1","0.6","0.0","11.6"
"Will Mallory","IND","7.8","78.4","0.6","0.0","11.5"
"Travis Vokolek","ARI","7.3","73.3","0.6","0.0","11.0"
"Nate Adkins","DEN","5.6","45.9","1.1","0.0","10.9"
"Jaheim Bell","NE","7.6","76.3","0.5","0.0","10.8"
"Brevyn Spann-Ford","DAL","7.2","70.8","0.6","0.0","10.8"
"Tanner McLachlan","CIN","7.0","68.5","0.5","0.0","9.9"
"Giovanni Ricci","MIN","8.0","96.0","0.0","0.0","9.6"
"Tip Reiman","ARI","6.4","59.3","0.6","0.0","9.6"
"Jackson Hawes","BUF","6.3","58.7","0.6","0.0","9.3"
"Dominique Dafney","CAR","7.2","71.4","0.3","0.0","9.2"
"Cam Grandy","CIN","6.9","60.6","0.5","0.0","9.1"
"John Stephens Jr.","DAL","6.1","59.5","0.5","0.0","8.6"
"Blake Whiteheart","CLE","6.2","56.6","0.5","0.0","8.4"
"Moliki Matavao","NO","5.0","51.0","0.5","0.0","8.1"
"Teagan Quitoriano","ATL","3.7","59.7","0.3","0.0","8.0"
"John Bates","WAS","5.1","48.6","0.5","0.0","7.9"
"Jared Wiley","KC","5.3","52.8","0.4","0.0","7.9"
"Tanner Conner","MIA","6.0","48.0","0.5","0.0","7.8"
"Lawrence Cager","WAS","3.7","38.0","0.7","0.0","7.8"
"Greg Dulcich","NYG","5.1","54.7","0.3","0.0","7.5"
"Ian Thomas","LV","6.0","59.5","0.3","0.0","7.5"
"Ben Sims","GB","4.5","44.9","0.4","0.0","7.1"
"Robert Tonyan","KC","4.7","43.1","0.4","0.0","6.6"
"Durham Smythe","CHI","5.5","48.1","0.2","0.0","6.0"
"Eric Saubert","SEA","4.4","36.8","0.3","0.0","5.6"
"Brayden Willis","SF","3.0","35.7","0.3","0.0","5.6"
"Brenden Bates","CLE","3.7","34.3","0.3","0.0","5.4"
"Tucker Fisk","LAC","3.3","30.5","0.4","0.0","5.4"
"Harrison Bryant","PHI","3.3","32.3","0.3","0.0","5.2"
"Irv Smith Jr.","HOU","4.0","33.8","0.3","0.0","5.0"
"Stephen Carlson","CHI","3.5","33.8","0.2","0.0","4.8"
"Zach Davidson","BUF","2.7","26.9","0.2","0.0","4.1"
"Kenny Yeboah","DET","2.7","27.0","0.1","0.0","3.4"
