"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","116.9","1,506.4","11.8","1.6","11.5","0.0","0.6","221.4"
"Justin Jefferson","MIN","101.1","1,407.1","8.8","0.5","3.6","0.0","0.6","192.9"
"CeeDee Lamb","DAL","107.4","1,296.1","7.5","9.2","59.3","0.3","1.0","180.2"
"Puka Nacua","LAR","101.1","1,316.6","6.3","10.7","61.4","0.6","0.6","178.3"
"Amon-Ra St. Brown","DET","107.0","1,223.5","8.9","2.0","12.8","0.1","0.9","175.8"
"Brian Thomas Jr.","JAC","88.6","1,238.9","8.2","3.8","25.3","0.0","0.6","174.8"
"Nico Collins","HOU","87.4","1,248.8","8.4","0.0","1.4","0.0","0.5","174.2"
"Malik Nabers","NYG","101.7","1,235.6","7.5","2.5","11.6","0.0","0.6","168.8"
"Mike Evans","TB","79.2","1,066.5","9.9","0.6","2.8","0.0","0.5","165.4"
"Ladd McConkey","LAC","90.5","1,206.5","7.4","0.0","1.4","0.0","0.6","164.1"
"Tee Higgins","CIN","87.4","1,107.1","9.0","0.0","0.0","0.0","0.9","162.7"
"A.J. Brown","PHI","78.8","1,154.8","7.9","0.0","0.0","0.0","0.9","161.2"
"Drake London","ATL","90.8","1,138.6","7.7","0.3","2.0","0.0","0.6","158.9"
"Tyreek Hill","MIA","90.1","1,112.2","7.3","7.2","33.3","0.1","0.5","158.2"
"Terry McLaurin","WAS","80.9","1,079.5","8.4","1.0","4.5","0.0","0.9","157.0"
"Davante Adams","LAR","80.6","1,037.7","7.9","0.3","0.0","0.0","0.5","150.0"
"Marvin Harrison Jr.","ARI","76.3","1,055.9","7.6","0.0","0.0","0.0","0.9","149.2"
"DK Metcalf","PIT","74.0","1,083.2","7.0","0.0","0.0","0.0","1.3","147.7"
"Jaxon Smith-Njigba","SEA","90.9","1,057.9","6.3","2.6","17.5","0.0","0.5","144.8"
"Zay Flowers","BAL","74.6","1,022.6","6.2","8.2","48.3","0.1","0.5","144.5"
"Courtland Sutton","DEN","74.7","984.4","7.2","0.0","0.2","0.0","0.9","140.1"
"Garrett Wilson","NYJ","90.8","1,049.6","5.9","1.9","13.3","0.0","1.3","139.0"
"Jameson Williams","DET","57.8","927.2","5.9","7.4","64.7","0.8","0.5","138.7"
"Xavier Worthy","KC","66.6","815.5","6.8","15.1","82.0","1.3","0.5","136.9"
"Calvin Ridley","TEN","68.0","983.7","5.8","5.6","36.0","0.3","0.9","136.9"
"DJ Moore","CHI","84.1","968.6","5.9","9.5","53.2","0.1","0.9","136.5"
"DeVonta Smith","PHI","78.4","950.0","6.7","0.3","1.2","0.0","0.5","134.3"
"George Pickens","DAL","65.1","964.0","5.9","1.0","6.2","0.0","0.9","130.7"
"Jerry Jeudy","CLE","77.8","1,048.4","4.0","0.3","2.2","0.0","0.5","128.0"
"Deebo Samuel Sr.","WAS","62.9","792.1","5.0","29.9","130.0","1.2","1.0","127.6"
"Jakobi Meyers","LV","80.7","948.2","5.3","1.3","9.2","0.0","0.5","126.6"
"Jordan Addison","MIN","64.5","835.6","6.6","1.2","10.4","0.2","0.5","124.5"
"Jayden Reed","GB","58.0","778.3","5.7","12.2","96.2","0.7","0.9","124.5"
"Rashee Rice","KC","76.1","882.2","6.2","1.2","3.7","0.0","0.7","124.4"
"Jaylen Waddle","MIA","73.1","940.7","4.8","2.5","11.3","0.1","0.5","123.2"
"Jauan Jennings","SF","68.0","886.3","5.4","2.0","8.2","0.1","0.6","121.2"
"Travis Hunter","JAC","68.0","885.5","5.2","3.8","22.4","0.1","0.8","120.7"
"Chris Godwin","TB","75.5","866.9","5.7","0.8","4.0","0.0","0.5","120.0"
"Rome Odunze","CHI","65.4","874.5","5.3","1.3","8.0","0.0","0.9","118.5"
"Matthew Golden","GB","59.1","832.4","5.6","0.7","10.0","0.0","0.8","116.5"
"Chris Olave","NO","73.7","919.0","4.3","0.3","2.8","0.0","1.3","115.6"
"Keon Coleman","BUF","51.2","805.9","5.8","0.3","3.5","0.0","0.5","115.0"
"Rashid Shaheed","NO","55.9","844.2","4.4","7.3","44.5","0.1","1.2","113.3"
"Darnell Mooney","ATL","59.7","842.9","4.7","0.0","1.2","0.0","0.4","111.5"
"Cooper Kupp","SEA","71.0","789.1","5.3","1.3","8.1","0.0","0.5","110.3"
"Marvin Mims Jr.","DEN","52.5","692.9","5.3","13.3","64.2","0.4","0.6","109.2"
"Stefon Diggs","NE","73.8","804.8","4.5","1.2","5.4","0.2","0.5","108.6"
"Ricky Pearsall","SF","54.6","735.8","4.6","7.0","49.8","0.3","0.6","107.1"
"Michael Pittman Jr.","IND","70.5","836.1","3.9","0.0","1.8","0.0","0.9","105.3"
"Brandon Aiyuk","SF","52.0","792.7","4.1","2.1","9.3","0.1","0.4","104.3"
"Khalil Shakir","BUF","68.1","768.0","4.6","0.3","3.0","0.0","0.6","103.7"
"Rashod Bateman","BAL","44.3","673.3","5.4","0.0","0.6","0.0","0.1","99.6"
"Josh Downs","IND","62.0","727.1","4.2","0.3","4.0","0.0","0.4","97.5"
"Tetairoa McMillan","CAR","56.9","731.1","4.1","0.5","7.4","0.0","1.1","96.1"
"Marquise Brown","KC","56.9","687.6","4.5","0.3","1.6","0.0","0.2","95.6"
"Adam Thielen","CAR","64.3","686.0","4.4","0.0","1.8","0.0","0.5","94.2"
"Christian Kirk","HOU","57.0","729.3","3.7","0.7","3.0","0.0","0.8","93.9"
"Quentin Johnston","LAC","46.9","622.1","5.2","1.7","6.7","0.0","0.4","93.5"
"Tre Harris","LAC","51.2","683.1","4.2","0.7","3.3","0.0","1.1","91.7"
"Xavier Legette","CAR","56.0","634.3","4.1","6.2","28.9","0.1","0.5","90.3"
"Jack Bech","LV","54.2","680.4","3.5","1.0","2.7","0.0","0.8","87.9"
"Luther Burden III","CHI","52.3","632.7","3.7","3.7","26.1","0.4","1.1","87.8"
"Cedric Tillman","CLE","51.3","639.7","3.6","0.7","0.3","0.0","0.9","83.8"
"Wan'Dale Robinson","NYG","69.4","630.5","3.2","2.0","14.0","0.0","0.5","82.8"
